Fighter 1,Fighter 2,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Event,Date
Diana Belbita,Hannah Goldy,Women's Strawweight,Diana Belbita,Hannah Goldy,U-DEC,,3,300,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
Islam Makhachev,Thiago Moises,Lightweight,Islam Makhachev,Thiago Moises,SUB,Rear Naked Choke,4,158,UFC Fight Night: Makhachev vs. Moises,2021-07-17
Miesha Tate,Marion Reneau,Women's Bantamweight,Miesha Tate,Marion Reneau,KO/TKO,Elbows,3,113,UFC Fight Night: Makhachev vs. Moises,2021-07-17
Mateusz Gamrot,Jeremy Stephens,Lightweight,Mateusz Gamrot,Jeremy Stephens,SUB,Kimura,1,65,UFC Fight Night: Makhachev vs. Moises,2021-07-17
Rodolfo Vieira,Dustin Stoltzfus,Middleweight,Rodolfo Vieira,Dustin Stoltzfus,SUB,Rear Naked Choke,3,114,UFC Fight Night: Makhachev vs. Moises,2021-07-17
Billy Quarantillo,Gabriel Benitez,Featherweight,Billy Quarantillo,Gabriel Benitez,KO/TKO,Punches,3,220,UFC Fight Night: Makhachev vs. Moises,2021-07-17
Daniel Rodriguez,Preston Parsons,Welterweight,Daniel Rodriguez,Preston Parsons,KO/TKO,Punches,1,227,UFC Fight Night: Makhachev vs. Moises,2021-07-17
Amanda Lemos,Montserrat Conejo,Women's Strawweight,Amanda Lemos,Montserrat Conejo,KO/TKO,Punch,1,35,UFC Fight Night: Makhachev vs. Moises,2021-07-17
Sergey Morozov,Khalid Taha,Bantamweight,Sergey Morozov,Khalid Taha,U-DEC,,3,300,UFC Fight Night: Makhachev vs. Moises,2021-07-17
Malcolm Gordon,Francisco Figueiredo,Flyweight,Malcolm Gordon,Francisco Figueiredo,U-DEC,,3,300,UFC Fight Night: Makhachev vs. Moises,2021-07-17
